timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381186884,65,-5376,-18475,509,275,477,26.3,172,308,3861,58
1776381186884,112,-4392,-17472,611,299,436,26.3,172,308,3861,58
1776381186884,521,-2642,-16676,686,434,455,26.3,172,308,3861,58
1776381186884,762,-1453,-16688,835,502,498,26.3,172,308,3861,58
1776381186926,428,-672,-16311,955,321,556,26.3,172,308,3861,58
1776381186926,342,-564,-15903,941,107,627,26.3,172,308,3861,58
1776381186968,1193,-1089,-16152,857,-53,789,26.3,172,308,3861,58
1776381186968,2217,-1934,-16844,814,-199,1086,26.3,172,308,3861,58
1776381186968,2663,-2724,-17885,911,-294,1454,26.3,172,308,3861,58
1776381187050,2505,-3213,-18282,1146,-221,1692,26.3,172,308,3861,58
1776381187050,1829,-3201,-17997,1279,-6,1709,26.31,172,309,3866,58
1776381187091,1506,-2714,-16903,1204,189,1504,26.31,172,309,3866,58
1776381187091,1911,-1878,-15468,942,322,1219,26.31,172,309,3866,58
1776381187132,2851,-974,-14362,633,327,1009,26.31,172,309,3866,58
1776381187132,3462,111,-13898,491,232,927,26.31,172,309,3866,58
1776381187174,3937,772,-13764,538,40,910,26.31,172,309,3866,58
1776381187174,4149,1292,-13885,644,-182,898,26.31,172,309,3866,58
1776381187174,3891,1726,-14479,670,-439,809,26.31,172,309,3866,58
1776381187214,3858,2055,-15212,618,-671,633,26.31,172,309,3866,58
1776381187214,4441,1968,-15781,545,-755,451,26.31,172,309,3866,58
1776381187257,4614,2434,-16614,532,-735,297,26.31,172,309,3866,58
1776381187257,4043,2886,-17290,553,-657,112,26.31,172,309,3866,58
1776381187299,3652,3378,-17554,431,-464,-43,26.31,172,309,3866,58
1776381187299,3586,3884,-18017,185,-157,-119,26.31,172,309,3866,58
1776381187340,4309,4512,-19144,1,85,-51,26.31,172,309,3866,58
1776381187340,4468,4544,-19497,-3,88,95,26.31,172,309,3866,58
1776381187340,4493,3954,-19695,-32,187,211,26.31,172,309,3866,58
1776381187380,4862,3101,-20192,-118,371,290,26.31,172,309,3866,58
1776381187380,5407,2418,-20666,-205,488,339,26.31,172,309,3866,58
1776381187421,6168,1639,-21174,-185,557,344,26.31,172,309,3866,58
1776381187421,7099,1196,-21553,-59,560,318,26.31,172,309,3866,58
1776381187462,6790,1195,-21543,97,450,125,26.31,172,309,3866,58
1776381187462,6208,547,-20787,92,274,-305,26.31,172,309,3866,58
1776381187543,6281,-747,-19702,-192,185,-776,26.31,172,309,3866,58
1776381187543,6442,-1690,-19761,-586,131,-1101,26.31,172,309,3866,58
1776381187543,6649,-2136,-19826,-781,-33,-1292,26.31,172,309,3866,58
1776381187582,6682,-2479,-19206,-792,-181,-1369,26.31,172,309,3866,58
1776381187582,6435,-2577,-18209,-807,-223,-1363,26.31,172,309,3866,58
1776381187622,6009,-2721,-17280,-898,-141,-1303,26.31,172,309,3866,58
1776381187622,5304,-2493,-16382,-1043,9,-1236,26.31,172,309,3866,58
1776381187662,4749,-2296,-15830,-1245,141,-1198,26.31,172,309,3866,58
1776381187662,4454,-2070,-15718,-1403,126,-1188,26.31,172,309,3866,58
1776381187662,3927,-2115,-15183,-1478,25,-1209,26.31,172,309,3866,58
1776381187702,3641,-2156,-14397,-1506,5,-1202,26.31,172,309,3866,58
1776381187702,3610,-1968,-14061,-1499,-39,-1138,26.31,172,309,3866,58
1776381187742,3034,-1771,-13835,-1496,-149,-1029,26.31,172,309,3866,58
1776381187742,2702,-1768,-13525,-1498,-187,-900,26.31,172,309,3866,58
1776381187824,2888,-2262,-13531,-1486,-127,-705,26.31,172,309,3866,58
1776381187824,2279,-2645,-13705,-1381,17,-504,26.31,172,309,3866,58
1776381187951,1448,-2938,-13594,-1199,178,-423,26.31,172,309,3866,58
1776381187951,1137,-3189,-13215,-1036,273,-431,26.31,172,309,3866,58
1776381187951,1928,-4049,-13127,-977,250,-382,26.31,172,309,3866,58
1776381187951,2301,-4767,-13834,-876,236,-191,26.31,172,309,3866,58
1776381187951,1910,-5012,-14608,-554,249,9,26.31,172,309,3866,58
1776381187951,1209,-5083,-14800,-89,328,119,26.31,172,309,3866,58
1776381187951,1041,-5160,-14871,303,362,149,26.31,172,309,3866,58
1776381187992,1161,-5116,-15545,522,207,194,26.31,172,309,3866,58
1776381187992,500,-4078,-16161,716,-45,191,26.31,172,309,3866,58
1776381188032,612,-3466,-15909,882,-186,84,26.31,172,309,3866,58
1776381188032,1463,-3235,-15242,905,-84,85,26.31,172,309,3866,58
1776381188032,1849,-2985,-15613,921,102,241,26.3,179,310,3867,58
1776381188075,1721,-2562,-16486,1072,126,486,26.3,179,310,3867,58
1776381188075,1535,-2229,-17232,1344,37,702,26.3,179,310,3867,58
1776381188116,1846,-2721,-17758,1538,-73,883,26.3,179,310,3867,58
1776381188116,1861,-2960,-18513,1554,-221,1094,26.3,179,310,3867,58
1776381188162,1787,-3111,-18551,1480,-351,1282,26.3,179,310,3867,58
1776381188162,2121,-3366,-18876,1429,-306,1473,26.3,179,310,3867,58
1776381188214,1778,-2977,-18954,1513,-118,1605,26.3,179,310,3867,58
1776381188214,1952,-2243,-18265,1630,55,1620,26.3,179,310,3867,58
1776381188266,2637,-1662,-17404,1632,131,1567,26.3,179,310,3867,58
1776381188266,3525,-1184,-16028,1396,101,1497,26.3,179,310,3867,58
1776381188266,4321,-976,-15598,1035,86,1468,26.3,179,310,3867,58
